rx_spreadFactor,rx_rssi,rx_loRaSNR,power,location,distance
9,-88.5,11.5,20,52,585.4788297002594
10,-100.0,9.16,2,52,301.78623399605846
7,-103.0,8.05,2,52,301.78623399605846
7,-105.0,8.0,2,52,585.4788297002594
8,-102.0,8.950000000000001,2,52,301.78623399605846
8,-109.0,3.5,2,52,585.4788297002594
9,-102.0,10.2,2,52,301.78623399605846
10,-103.66666666666667,7.766666666666667,3,52,301.78623399605846
10,-110.5,3.5,3,52,585.4788297002594
7,-100.75,8.425,3,52,301.78623399605846
7,-107.0,5.8,3,52,585.4788297002594
8,-97.8,10.48,3,52,301.78623399605846
9,-104.33333333333333,7.733333333333333,3,52,301.78623399605846
9,-107.0,6.85,3,52,585.4788297002594
10,-99.0,9.9,4,52,301.78623399605846
10,-97.0,7.8,4,52,585.4788297002594
7,-99.75,9.3,4,52,301.78623399605846
7,-106.0,7.2,4,52,585.4788297002594
8,-98.2,10.680000000000001,4,52,301.78623399605846
9,-102.4,11.459999999999999,4,52,301.78623399605846
10,-99.5,9.8,5,52,301.78623399605846
10,-101.0,6.75,5,52,585.4788297002594
10,-111.0,-10.8,5,52,444.85695871653746
7,-101.0,8.875,5,52,301.78623399605846
7,-107.0,8.5,5,52,585.4788297002594
8,-101.33333333333333,9.566666666666666,5,52,301.78623399605846
8,-101.0,1.3499999999999996,5,52,585.4788297002594
9,-104.5,9.275,5,52,301.78623399605846
9,-107.0,8.0,5,52,585.4788297002594
10,-95.66666666666667,10.266666666666667,6,52,301.78623399605846
10,-107.5,4.0,6,52,585.4788297002594
7,-96.75,7.0,6,52,301.78623399605846
7,-111.0,-9.2,6,52,444.85695871653746
8,-96.0,10.459999999999999,6,52,301.78623399605846
9,-100.5,10.925,6,52,301.78623399605846
9,-111.0,4.0,6,52,585.4788297002594
10,-93.25,10.7,7,52,301.78623399605846
10,-103.0,8.2,7,52,585.4788297002594
7,-95.25,9.875,7,52,301.78623399605846
7,-103.0,8.2,7,52,585.4788297002594
8,-95.4,10.080000000000002,7,52,301.78623399605846
9,-96.2,10.86,7,52,301.78623399605846
10,-90.75,10.7,8,52,301.78623399605846
10,-94.0,7.8,8,52,585.4788297002594
7,-96.0,9.175,8,52,301.78623399605846
7,-107.0,6.2,8,52,585.4788297002594
8,-96.33333333333333,10.866666666666667,8,52,301.78623399605846
8,-97.0,10.4,8,52,585.4788297002594
9,-99.5,11.125,8,52,301.78623399605846
9,-111.0,-6.8,8,52,444.85695871653746
10,-94.5,9.25,9,52,301.78623399605846
10,-104.0,6.8,9,52,585.4788297002594
7,-93.4,9.74,9,52,301.78623399605846
8,-91.33333333333333,10.933333333333332,9,52,301.78623399605846
8,-101.0,9.8,9,52,585.4788297002594
9,-96.5,12.15,9,167,301.78623399605846
9,-104.0,5.866666666666667,9,167,585.4788297002594
10,-101.33333333333333,7.2,10,167,225.32937991223196
10,-107.0,7.199999999999999,10,167,606.5167633702372
7,-98.5,8.05,10,167,225.32937991223196
7,-102.0,7.8,10,167,606.5167633702372
8,-101.5,9.5,10,167,225.32937991223196
8,-106.0,7.2,10,167,606.5167633702372
9,-104.66666666666667,10.0,10,167,225.32937991223196
9,-108.5,3.5,10,167,606.5167633702372
10,-92.4,9.319999999999999,11,167,225.32937991223199
7,-103.0,7.800000000000001,11,167,225.32937991223196
7,-106.5,6.1,11,167,606.5167633702372
8,-97.0,10.575,11,167,225.32937991223196
8,-105.0,8.8,11,167,606.5167633702372
9,-97.2,11.26,11,167,225.32937991223199
10,-94.5,8.875,12,167,225.32937991223196
10,-97.0,8.5,12,167,606.5167633702372
7,-91.8,7.980000000000001,12,167,225.32937991223199
8,-92.75,10.75,12,167,225.32937991223196
8,-103.0,9.2,12,167,606.5167633702372
9,-99.0,9.6,12,167,225.32937991223196
9,-104.5,6.300000000000001,12,167,606.5167633702372
10,-90.0,9.4,13,167,225.32937991223196
10,-99.5,8.4,13,167,606.5167633702372
7,-94.75,9.2,13,167,225.32937991223196
7,-99.0,8.8,13,167,606.5167633702372
8,-93.8,10.9,13,167,225.32937991223199
9,-92.5,11.625,13,167,225.32937991223196
9,-108.0,4.2,13,167,510.66044782210633
10,-91.25,9.75,14,167,225.32937991223196
10,-107.0,6.5,14,167,606.5167633702372
7,-96.0,8.86,14,167,225.32937991223199
8,-94.25,10.7,14,167,225.32937991223196
8,-108.0,8.0,14,167,606.5167633702372
9,-93.6,11.459999999999999,14,167,225.32937991223199
10,-91.5,10.15,15,167,225.32937991223196
10,-98.0,8.5,15,167,606.5167633702372
7,-93.0,9.35,15,167,225.32937991223196
7,-96.0,8.5,15,167,606.5167633702372
8,-93.0,10.66,15,167,225.32937991223199
9,-92.0,11.26,15,167,225.32937991223199
10,-92.6,9.98,16,167,225.32937991223199
7,-91.0,9.52,16,167,225.32937991223199
8,-91.75,10.2,16,167,225.32937991223196
8,-102.0,2.5,16,167,510.66044782210633
9,-89.66666666666667,10.6,16,167,225.32937991223196
9,-109.0,8.2,16,167,606.5167633702372
9,-103.0,6.8,16,167,510.66044782210633
10,-93.33333333333333,11.833333333333334,17,167,225.32937991223196
10,-97.5,10.1,17,167,606.5167633702372
7,-91.75,9.675,17,167,225.32937991223196
7,-99.0,4.0,17,167,606.5167633702372
8,-88.2,11.040000000000001,17,167,225.32937991223199
9,-95.0,11.575,17,167,225.32937991223196
9,-102.0,10.8,17,167,606.5167633702372
10,-90.75,10.125,18,167,225.32937991223196
10,-89.0,8.2,18,167,606.5167633702372
7,-90.75,9.75,18,167,225.32937991223196
7,-100.0,5.8,18,167,606.5167633702372
8,-93.33333333333333,10.566666666666666,18,167,225.32937991223196
8,-95.5,11.0,18,167,606.5167633702372
9,-93.0,12.333333333333334,18,167,225.32937991223196
9,-92.5,11.65,18,167,606.5167633702372
10,-88.66666666666667,9.333333333333334,19,167,225.32937991223196
10,-92.5,10.0,19,167,606.5167633702372
7,-92.75,9.95,19,167,225.32937991223196
7,-96.0,9.2,19,167,606.5167633702372
8,-92.75,10.8,19,167,225.32937991223196
8,-95.0,10.5,19,167,606.5167633702372
9,-93.75,11.375,19,167,225.32937991223196
9,-105.0,3.2,19,167,510.66044782210633
10,-93.0,10.333333333333334,1,167,225.32937991223196
10,-113.5,-3.6,1,167,606.5167633702372
7,-83.2,9.4,1,167,225.32937991223199
8,-81.4,11.18,1,167,225.32937991223199
9,-86.4,11.64,1,167,225.32937991223199
10,-90.0,9.774999999999999,20,167,225.32937991223196
10,-96.0,10.0,20,167,606.5167633702372
7,-93.0,9.325,20,167,225.32937991223196
7,-92.0,9.0,20,167,606.5167633702372
8,-91.0,10.940000000000001,20,167,225.32937991223199
9,-95.66666666666667,10.966666666666667,20,167,225.32937991223196
9,-102.0,9.2,20,167,606.5167633702372
9,-108.0,2.8,20,167,510.66044782210633
10,-95.0,9.34,2,167,225.32937991223199
7,-94.0,8.825,2,167,225.32937991223196
7,-108.0,7.2,2,167,606.5167633702372
8,-96.0,9.86,2,167,225.32937991223199
9,-96.2,10.24,2,167,225.32937991223199
10,-103.25,7.2,3,167,225.32937991223196
10,-115.0,-2.2,3,167,606.5167633702372
7,-103.0,8.28,3,167,225.32937991223199
8,-105.25,8.45,3,167,225.32937991223196
8,-102.0,7.8,3,167,606.5167633702372
9,-109.66666666666667,7.766666666666667,3,167,225.32937991223196
9,-111.0,6.3,3,167,606.5167633702372
10,-103.5,7.65,4,167,225.32937991223196
10,-114.0,-0.8,4,167,606.5167633702372
7,-107.2,3.4200000000000004,4,167,225.32937991223199
8,-108.25,6.4750000000000005,4,167,225.32937991223196
8,-109.0,8.2,4,167,606.5167633702372
9,-104.0,9.575,4,167,225.32937991223196
9,-114.0,-8.0,4,167,606.5167633702372
10,-111.0,6.5,5,167,225.32937991223196
10,-111.5,2.925,5,167,606.5167633702372
7,-104.5,4.125,5,167,225.32937991223196
7,-105.0,6.8,5,167,606.5167633702372
